Player 1,Player 2,Player 3,Player 4,,,,
17,31,20,11,3,1,2,4
11,32,12,12,4,1,2,2
20,21,14,11,2,1,3,4
12,20,18,15,4,1,2,3
18,27,6,11,2,1,4,3
21,29,14,6,2,1,3,4
17,27,21,16,3,1,2,4
9,20,15,12,4,1,2,3
14,20,16,14,3,1,2,3
14,20,15,11,3,1,2,4
13,32,11,17,3,1,4,2
13,29,14,12,3,1,2,4
11,15,10,12,3,1,4,2
11,21,8,17,3,1,4,2
15,31,14,6,2,1,3,4
12,32,12,14,3,1,3,2
18,31,14,12,2,1,3,4
11,12,11,8,2,1,2,4
10,13,16,7,3,2,1,4
20,15,11,11,1,2,3,3
10,16,11,15,4,1,3,2
20,31,19,19,2,1,3,3
19,26,11,21,3,1,4,2
15,21,9,14,2,1,4,3
16,18,15,20,3,2,4,1
19,32,19,19,2,1,2,2
10,24,10,17,3,1,3,2
11,22,16,8,3,1,2,4
23,25,11,9,2,1,3,4
10,23,20,13,4,1,2,3
11,15,20,15,4,2,1,2
19,25,9,11,2,1,4,3
20,19,10,9,1,2,3,4
19,26,8,9,2,1,4,3
17,32,11,10,2,1,3,4
15,27,19,17,4,1,2,3
16,23,19,19,4,1,2,2
12,11,11,7,1,2,2,4
19,20,17,14,2,1,3,4
14,21,16,11,3,1,2,4
15,29,7,10,2,1,4,3
9,28,7,12,3,1,4,2
23,21,21,14,1,2,2,4
13,31,16,15,4,1,2,3
18,23,16,11,2,1,3,4
21,23,18,14,2,1,3,4
17,32,17,12,2,1,2,4
12,25,17,18,4,1,3,2
14,23,15,15,4,1,2,2
16,19,15,11,2,1,3,4
16,21,16,13,2,1,2,4
2,19,14,21,4,2,3,1
17,29,20,17,3,1,2,3
10,14,13,12,4,1,2,3
9,12,10,8,3,1,2,4
27,26,20,15,1,2,3,4
12,12,13,11,2,2,1,4
11,24,14,14,4,1,2,2
16,22,11,16,2,1,4,2
16,25,9,18,3,1,4,2
16,32,9,15,2,1,4,3
13,28,12,20,3,1,4,2
13,32,10,13,2,1,4,2
12,18,12,18,3,1,3,1
13,20,20,8,3,1,1,4
8,31,10,7,3,1,2,4
19,21,7,18,2,1,4,3
11,31,9,23,3,1,4,2
20,28,14,18,2,1,4,3
20,30,13,8,2,1,3,4
13,25,12,11,2,1,3,4
18,16,15,15,1,2,3,3
25,31,23,13,2,1,3,4
9,23,13,23,4,1,3,1
14,19,14,16,3,1,3,2
11,27,20,15,4,1,2,3
6,23,8,9,4,1,3,2
14,28,18,16,4,1,2,3
8,23,2,10,3,1,4,2
17,27,10,9,2,1,3,4
17,26,9,4,2,1,3,4
17,25,17,19,3,1,3,2
15,22,14,16,3,1,4,2
10,25,12,13,4,1,3,2
13,32,22,17,4,1,2,3
13,32,17,27,4,1,3,2
12,29,12,12,2,1,2,2
16,22,19,13,3,1,2,4
12,19,6,8,2,1,4,3
26,30,16,13,2,1,3,4
15,23,12,12,2,1,3,3
19,24,11,14,2,1,4,3
16,19,12,13,2,1,4,3
17,15,15,12,1,2,2,4
15,23,6,16,3,1,4,2
12,24,15,18,4,1,3,2
12,32,14,15,4,1,3,2
16,23,11,18,3,1,4,2
17,32,21,11,3,1,2,4
12,19,12,15,3,1,3,2
14.78,24.02,13.66,13.6,2.72,1.12,2.85,2.96
