Player 1,Player 2,Player 3,Player 4,,,,
23,23,29,30,3,3,2,1
30,31,32,24,3,2,1,4
21,17,21,15,1,3,1,4
21,13,22,19,2,4,1,3
19,23,27,18,3,2,1,4
22,20,19,17,1,2,3,4
12,14,16,9,3,2,1,4
26,19,20,17,1,3,2,4
21,23,22,21,3,1,2,3
15,15,18,19,3,3,2,1
14,14,14,11,1,1,1,4
25,15,22,13,1,3,2,4
21,20,25,24,3,4,1,2
14,18,20,15,4,2,1,3
12,14,14,11,3,1,1,4
28,16,28,23,1,4,1,3
25,21,27,27,3,4,1,1
22,27,26,20,3,1,2,4
16,20,15,18,3,1,4,2
27,26,23,25,1,2,4,3
27,22,25,17,1,3,2,4
20,22,18,15,2,1,3,4
23,17,19,18,1,4,2,3
9,9,9,8,1,1,1,4
24,18,22,16,1,3,2,4
17,26,26,17,3,1,1,3
25,22,27,20,2,3,1,4
23,15,22,19,1,4,2,3
13,17,15,13,3,1,2,3
16,15,18,12,2,3,1,4
18,22,32,20,4,2,1,3
22,20,26,22,2,4,1,2
15,17,17,16,4,1,1,3
30,18,30,17,1,3,1,4
22,32,29,21,3,1,2,4
18,21,16,14,2,1,3,4
15,16,15,11,2,1,2,4
18,14,14,14,1,2,2,2
20,20,22,19,2,2,1,4
24,27,27,23,3,1,1,4
14,17,19,16,4,2,1,3
23,25,22,11,2,1,3,4
16,14,19,12,2,3,1,4
9,24,25,21,4,2,1,3
22,18,27,25,3,4,1,2
16,21,25,19,4,2,1,3
13,14,15,11,3,2,1,4
11,12,11,9,2,1,2,4
27,21,28,26,2,4,1,3
14,12,18,12,2,3,1,3
18,12,23,19,3,4,1,2
21,18,19,18,1,3,2,3
13,12,23,18,3,4,1,2
22,19,29,28,3,4,1,2
15,16,14,12,2,1,3,4
17,22,22,17,3,1,1,3
18,20,22,20,4,2,1,2
15,13,18,15,2,4,1,2
17,17,23,21,3,3,1,2
18,20,14,14,2,1,3,3
22,22,15,13,1,1,3,4
22,21,21,21,1,2,2,2
19,21,28,12,3,2,1,4
21,21,18,14,1,1,3,4
11,9,10,10,1,4,2,2
16,20,21,12,3,2,1,4
24,31,28,21,3,1,2,4
20,19,18,16,1,2,3,4
13,15,12,11,2,1,3,4
18,20,22,15,3,2,1,4
22,16,16,13,1,2,2,4
16,14,14,19,2,3,3,1
16,13,18,13,2,3,1,3
18,28,26,18,3,1,2,3
11,12,14,14,4,3,1,1
13,12,13,12,1,3,1,3
14,20,16,11,3,1,2,4
21,25,27,22,4,2,1,3
23,27,24,18,3,1,2,4
27,21,31,22,2,4,1,3
19,22,27,19,3,2,1,3
14,14,18,14,2,2,1,2
20,31,31,17,3,1,1,4
12,14,14,9,3,1,1,4
18,17,15,14,1,2,3,4
12,11,12,8,1,3,1,4
13,19,22,17,4,2,1,3
22,23,21,14,2,1,3,4
19,14,26,25,3,4,1,2
9,8,11,9,2,4,1,2
13,13,13,13,1,1,1,1
20,21,18,16,2,1,3,4
27,27,23,25,1,1,4,3
14,27,32,21,4,2,1,3
23,24,21,14,2,1,3,4
19,15,18,13,1,3,2,4
15,16,13,15,2,1,4,2
20,20,21,17,2,2,1,4
27,16,21,19,1,4,2,3
18.74 ,18.84 ,20.75 ,16.75 ,2.27 ,2.22 ,1.68 ,3.18 
