Player 1,Player 2,Player 3,Player 4,,,,
30,28,26,25,1,2,3,4
13,14,17,16,4,3,1,2
21,21,30,28,3,3,1,2
26,23,17,28,2,3,4,1
24,22,18,23,1,3,4,2
22,20,18,31,2,3,4,1
25,22,20,22,1,2,4,2
20,21,21,26,4,2,2,1
20,27,19,29,3,2,4,1
23,30,28,32,4,2,3,1
16,12,17,16,2,4,1,2
8,12,11,10,4,1,2,3
16,14,20,17,3,4,1,2
12,15,12,16,3,2,3,1
22,25,23,22,3,1,2,3
16,20,17,23,4,2,3,1
22,25,32,31,4,3,1,2
9,7,9,11,2,4,2,1
9,16,22,17,4,3,1,2
26,19,22,21,1,4,2,3
18,16,19,19,3,4,1,1
27,15,19,21,1,4,3,2
11,11,8,11,1,1,4,1
17,19,26,29,4,3,2,1
21,21,17,21,1,1,4,1
15,16,18,20,4,3,2,1
10,12,10,13,3,2,3,1
24,26,30,21,3,2,1,4
17,20,14,15,2,1,4,3
20,17,13,28,2,3,4,1
14,16,23,26,4,3,2,1
9,7,8,7,1,3,2,3
16,16,17,15,2,2,1,4
15,14,19,19,3,4,1,1
22,15,15,32,2,3,3,1
18,17,22,19,3,4,1,2
12,26,27,22,4,2,1,3
22,21,20,18,1,2,3,4
11,14,12,16,4,2,3,1
17,22,16,32,3,2,4,1
16,17,24,24,4,3,1,1
26,22,26,27,2,4,2,1
18,17,18,14,1,3,1,4
24,17,27,21,2,4,1,3
17,18,21,23,4,3,2,1
18,22,22,17,3,1,1,4
25,26,23,23,2,1,3,3
20,18,16,18,1,2,4,2
20,21,20,17,2,1,2,4
30,21,16,28,1,3,4,2
21,23,26,27,4,3,2,1
19,18,21,27,3,4,2,1
21,16,27,23,3,4,1,2
19,21,21,24,4,2,2,1
24,22,23,26,2,4,3,1
14,26,14,32,3,2,3,1
20,20,19,22,2,2,4,1
20,19,22,23,3,4,2,1
27,22,20,30,2,3,4,1
13,14,17,14,4,2,1,2
27,21,20,17,1,2,3,4
16,11,20,13,2,4,1,3
24,14,20,28,2,4,3,1
19,26,28,28,4,3,1,1
22,23,20,21,2,1,4,3
15,18,20,21,4,3,2,1
16,16,24,31,3,3,2,1
20,21,17,20,2,1,4,2
20,15,16,25,2,4,3,1
21,22,18,18,2,1,3,3
21,21,22,19,2,2,1,4
25,19,18,21,1,3,4,2
20,22,23,20,3,2,1,3
23,23,27,24,3,3,1,2
27,30,16,23,2,1,4,3
11,24,21,28,4,2,3,1
21,22,20,21,2,1,4,2
13,10,10,12,1,3,3,2
17,16,18,17,2,4,1,2
11,19,21,30,4,3,2,1
22,16,22,24,2,4,2,1
16,19,21,16,3,2,1,3
22,23,15,21,2,1,4,3
15,18,14,16,3,1,4,2
16,20,17,32,4,2,3,1
25,19,19,32,2,3,3,1
18,18,23,27,3,3,2,1
18,15,21,31,3,4,2,1
20,15,16,18,1,4,3,2
21,8,15,22,2,4,3,1
27,25,24,25,1,2,4,2
15,28,23,32,4,2,3,1
27,24,19,26,1,3,4,2
12,9,12,11,1,4,1,3
16,20,17,16,3,1,2,3
16,15,14,20,2,3,4,1
19,27,22,25,4,1,3,2
12,14,13,18,4,2,3,1
22,20,26,21,2,4,1,3
16,15,15,17,2,3,3,1
18.92,18.95,19.42,21.95,2.55,2.62,2.47,1.88
