Player 1,Player 2,Player 3,Player 4,,,,
27,6,26,31,2,4,3,1
18,30,16,28,3,1,4,2
17,21,15,25,3,2,4,1
14,20,12,23,3,2,4,1
13,14,25,17,4,3,1,2
10,26,32,32,4,3,1,1
28,20,23,30,2,4,3,1
17,20,18,27,4,2,3,1
30,25,21,30,1,3,4,1
21,20,31,31,3,4,1,1
23,14,15,25,2,4,3,1
17,19,13,15,2,1,4,3
16,17,21,21,4,3,1,1
12,17,19,19,4,3,1,1
22,22,18,25,2,2,4,1
17,15,17,19,2,4,2,1
25,18,23,20,1,4,2,3
20,20,20,21,2,2,2,1
19,23,25,27,4,3,2,1
17,20,17,18,3,1,3,2
24,21,16,32,2,3,4,1
21,25,23,25,4,1,3,1
21,22,20,23,3,2,4,1
18,13,21,20,3,4,1,2
15,18,22,16,4,2,1,3
18,19,18,22,3,2,3,1
8,8,9,9,3,3,1,1
11,15,18,15,4,2,1,2
25,20,20,17,1,2,2,4
24,17,16,25,2,3,4,1
30,20,18,30,1,3,4,1
23,15,16,25,2,4,3,1
14,14,11,13,1,1,4,3
15,18,16,15,3,1,2,3
17,13,25,32,3,4,2,1
19,20,20,28,4,2,2,1
12,16,13,13,4,1,2,2
25,20,20,19,1,2,2,4
20,24,26,21,4,2,1,3
23,26,20,26,3,1,4,1
15,18,19,21,4,3,2,1
21,21,22,27,3,3,2,1
19,18,13,17,1,2,4,3
16,20,21,20,4,2,1,2
6,6,9,8,3,3,1,2
21,17,25,22,3,4,1,2
32,26,22,29,1,3,4,2
21,27,22,22,4,1,2,2
19,17,17,20,2,3,3,1
17,14,16,30,2,4,3,1
19,30,25,28,4,1,3,2
18,13,10,23,2,3,4,1
31,21,19,32,2,3,4,1
13,11,14,13,2,4,1,2
15,22,23,29,4,3,2,1
20,18,14,17,1,2,4,3
16,19,22,25,4,3,2,1
27,20,24,23,1,4,2,3
18,16,20,25,3,4,2,1
23,18,19,29,2,4,3,1
12,11,11,11,1,2,2,2
11,12,12,12,4,1,1,1
25,27,27,24,3,1,1,4
18,25,22,27,4,2,3,1
27,24,30,25,2,4,1,3
19,14,17,19,1,4,3,1
11,12,13,11,3,2,1,3
11,12,12,10,3,1,1,4
21,21,21,22,2,2,2,1
25,25,23,22,1,1,3,4
27,31,20,31,3,1,4,1
17,20,30,32,4,3,2,1
17,21,20,20,4,1,2,2
18,16,20,32,3,4,2,1
27,22,17,29,2,3,4,1
23,22,22,25,2,3,3,1
28,20,21,32,2,4,3,1
27,21,15,26,1,3,4,2
17,23,15,21,3,1,4,2
17,17,22,19,3,3,1,2
22,25,22,25,3,1,3,1
16,14,15,16,1,4,3,1
14,11,10,13,1,3,4,2
15,19,12,20,3,2,4,1
18,22,17,24,3,2,4,1
18,11,19,27,3,4,2,1
24,30,25,31,4,2,3,1
11,21,19,21,4,1,3,1
27,28,17,25,2,1,4,3
25,21,15,18,1,2,4,3
27,24,23,30,2,3,4,1
17,17,17,17,1,1,1,1
17,27,16,22,3,1,4,2
15,23,19,22,4,1,3,2
21,22,21,22,3,1,3,1
17,23,22,20,4,1,2,3
15,21,15,16,3,1,3,2
19.28 ,19.36 ,19.02 ,22.57 ,2.66 ,2.43 ,2.61 ,1.67 
