Player 1,Player 2,Player 3,Player 4,,,,
11,16,27,14,4,2,1,3
16,19,22,14,3,2,1,4
21,21,28,19,2,2,1,4
13,16,32,10,3,2,1,4
17,22,27,15,3,2,1,4
14,11,22,14,2,4,1,2
25,21,32,9,2,3,1,4
10,13,26,11,4,2,1,3
20,21,27,25,4,3,1,2
16,13,27,12,2,3,1,4
18,14,25,15,2,4,1,3
21,11,30,16,2,4,1,3
22,15,28,10,2,3,1,4
17,8,28,10,2,4,1,3
25,18,30,22,2,4,1,3
10,13,25,15,4,3,1,2
12,17,31,18,4,3,1,2
12,14,18,10,3,2,1,4
15,9,23,17,3,4,1,2
19,19,30,12,2,2,1,4
28,16,27,12,1,3,2,4
22,12,30,13,2,4,1,3
12,17,22,18,4,3,1,2
9,15,32,20,4,3,1,2
17,12,21,11,2,3,1,4
16,20,17,16,3,1,2,3
23,14,20,11,1,3,2,4
16,16,21,18,3,3,1,2
9,12,27,17,4,3,1,2
18,16,25,17,2,4,1,3
18,15,19,12,2,3,1,4
20,17,22,16,2,3,1,4
22,16,28,19,2,4,1,3
25,20,26,20,2,3,1,3
15,20,29,11,3,2,1,4
11,17,16,12,4,1,2,3
16,9,23,11,2,4,1,3
13,12,28,19,3,4,1,2
9,8,19,14,3,4,1,2
16,13,25,17,3,4,1,2
11,10,14,11,2,4,1,2
10,13,29,19,4,3,1,2
16,15,18,13,2,3,1,4
19,12,28,20,3,4,1,2
15,19,15,11,2,1,2,4
15,15,16,14,2,2,1,4
14,15,19,18,4,3,1,2
15,13,27,17,3,4,1,2
20,19,21,19,2,3,1,3
18,18,25,11,2,2,1,4
12,15,20,12,3,2,1,3
15,15,26,14,2,2,1,4
20,7,27,18,2,4,1,3
20,17,21,16,2,3,1,4
21,24,30,14,3,2,1,4
11,15,26,15,4,2,1,2
21,18,16,14,1,2,3,4
16,18,17,12,3,1,2,4
16,14,17,14,2,3,1,3
9,12,21,10,4,2,1,3
22,23,19,23,3,1,4,1
25,20,25,20,1,3,1,3
17,21,21,7,3,1,1,4
20,12,24,23,3,4,1,2
12,18,21,16,4,2,1,3
11,9,29,12,3,4,1,2
15,15,25,13,2,2,1,4
11,16,31,25,4,3,1,2
15,7,16,15,2,4,1,2
11,12,31,6,3,2,1,4
13,16,18,14,4,2,1,3
9,21,32,15,4,2,1,3
15,14,15,8,1,3,1,4
6,19,31,7,4,2,1,3
11,21,31,13,4,2,1,3
18,16,22,14,2,3,1,4
17,4,28,23,3,4,1,2
12,9,23,7,2,3,1,4
18,11,28,16,2,4,1,3
10,12,13,9,3,2,1,4
8,12,28,20,4,3,1,2
10,14,19,17,4,3,1,2
15,11,16,14,2,4,1,3
9,12,29,10,4,2,1,3
17,17,19,15,2,2,1,4
19,10,18,11,1,4,2,3
15,21,22,18,4,2,1,3
14,14,18,14,2,2,1,2
11,12,14,11,3,2,1,3
19,10,27,13,2,4,1,3
18,18,31,14,2,2,1,4
21,17,27,8,2,3,1,4
13,17,21,16,4,2,1,3
9,12,28,17,4,3,1,2
19,18,26,17,2,3,1,4
5,9,22,12,4,3,1,2
14,18,17,18,4,1,3,1
10,20,16,14,4,1,2,3
15.48 ,15.00 ,23.77 ,14.58 ,2.76 ,2.77 ,1.15 ,3.03 
