Player 1,Player 2,Player 3,Player 4,,,,
8,9,11,8,3,2,1,3
33,30,35,36,3,4,2,1
25,53,64,31,4,2,1,3
29,39,58,33,4,2,1,3
23,34,27,22,3,1,2,4
33,38,31,33,2,1,4,2
27,35,22,25,2,1,4,3
22,26,33,26,4,2,1,2
22,26,26,27,4,2,2,1
25,24,24,27,2,3,3,1
41,37,42,30,2,3,1,4
33,39,37,26,3,1,2,4
43,38,41,33,1,3,2,4
35,34,39,43,3,4,2,1
31,27,37,30,2,4,1,3
23,22,69,29,3,4,1,2
22,21,18,17,1,2,3,4
32,33,39,29,3,2,1,4
34,32,43,35,3,4,1,2
33,40,47,37,4,2,1,3
30,29,67,26,2,3,1,4
32,55,61,32,3,2,1,3
56,42,70,29,2,3,1,4
35,36,40,31,3,2,1,4
23,24,23,21,2,1,2,4
23,23,25,22,2,2,1,4
31,39,34,32,4,1,2,3
31,29,54,30,2,4,1,3
57,24,55,26,1,4,2,3
17,17,23,19,3,3,1,2
47,40,50,33,2,3,1,4
40,33,67,30,2,3,1,4
26,32,37,25,3,2,1,4
35,31,26,31,1,2,4,2
31,43,36,35,4,1,2,3
24,34,30,25,4,1,2,3
33,30,29,27,1,2,3,4
26,21,61,27,3,4,1,2
30,32,34,28,3,2,1,4
31,40,41,36,4,2,1,3
26,40,65,39,4,2,1,3
28,34,61,36,4,3,1,2
34,33,36,31,2,3,1,4
12,12,14,12,2,2,1,2
33,25,52,24,2,3,1,4
19,18,26,17,2,3,1,4
36,29,48,34,2,4,1,3
29,31,28,39,3,2,4,1
35,44,28,29,2,1,4,3
33,34,42,38,4,3,1,2
30.34,31.82,40.12,28.82,2.68,2.44,1.64,2.98
