Player 1,Player 2,Player 3,Player 4
13,15,14,22,4,2,3,1
12,18,24,32,4,3,2,1
16,15,10,24,2,3,4,1
18,12,19,21,3,4,2,1
22,18,23,31,3,4,2,1
17,15,15,26,2,3,3,1
12,11,15,32,3,4,2,1
12,11,19,19,3,4,1,1
12,12,9,24,2,2,4,1
9,12,15,26,4,3,2,1
11,16,12,21,4,2,3,1
17,19,14,21,3,2,4,1
12,18,15,20,4,2,3,1
13,13,19,25,3,3,2,1
15,22,13,31,3,2,4,1
14,17,20,22,4,3,2,1
19,15,15,30,2,3,3,1
22,15,10,32,2,3,4,1
20,16,19,26,2,4,3,1
16,15,15,19,2,3,3,1
14,12,18,20,3,4,2,1
18,17,11,20,2,3,4,1
16,13,11,26,2,3,4,1
15,20,12,32,3,2,4,1
13,16,14,17,4,2,3,1
20,22,11,27,3,2,4,1
14,19,13,19,3,1,4,1
14,17,19,26,4,3,2,1
18,17,16,20,2,3,4,1
23,14,20,24,2,4,3,1
15,16,21,20,4,3,1,2
13,21,18,23,4,2,3,1
10,15,8,31,3,2,4,1
13,17,12,16,3,1,4,2
12,13,17,22,4,3,2,1
12,15,16,13,4,2,1,3
16,12,14,14,1,4,2,2
17,11,11,20,2,3,3,1
14,13,14,15,2,4,2,1
14,11,21,20,3,4,1,2
12,15,22,27,4,3,2,1
22,11,16,23,2,4,3,1
12,17,12,23,3,2,3,1
8,7,5,6,1,2,4,3
13,16,14,16,4,1,3,1
17,9,18,24,3,4,2,1
20,15,16,29,2,4,3,1
13,12,13,12,1,3,1,3
15,22,14,30,3,2,4,1
8,14,18,24,4,3,2,1
21,16,20,16,1,3,2,3
18,22,23,22,4,2,1,2
13,7,21,32,3,4,2,1
14,20,12,21,3,2,4,1
17,17,22,32,3,3,2,1
11,17,19,28,4,3,2,1
17,5,15,28,2,4,3,1
7,14,11,16,4,2,3,1
22,19,12,24,2,3,4,1
15,11,19,24,3,4,2,1
16,14,13,28,2,3,4,1
11,13,15,14,4,3,1,2
16,18,13,23,3,2,4,1
16,4,26,28,3,4,2,1
15,16,17,28,4,3,2,1
16,10,18,27,3,4,2,1
14,30,16,23,4,1,3,2
19,19,20,22,3,3,2,1
18,11,17,20,2,4,3,1
12,18,9,31,3,2,4,1
21,29,11,31,3,2,4,1
16,15,13,24,2,3,4,1
11,16,16,23,4,2,2,1
11,20,15,23,4,2,3,1
13,21,17,18,4,1,3,2
7,17,21,27,4,3,2,1
15,22,15,32,3,2,3,1
25,21,16,26,2,3,4,1
21,17,11,20,1,3,4,2
21,8,20,23,2,4,3,1
15,14,13,17,2,3,4,1
13,14,14,20,4,2,2,1
17,4,2,24,2,3,4,1
13,20,12,21,3,2,4,1
22,12,13,32,2,4,3,1
11,19,22,26,4,3,2,1
14,11,11,31,2,3,3,1
11,16,21,18,4,3,1,2
18,23,28,30,4,3,2,1
14,11,11,29,2,3,3,1
11,8,10,22,2,4,3,1
23,21,18,26,2,3,4,1
22,15,12,27,2,3,4,1
9,15,18,25,4,3,2,1
18,18,18,21,2,2,2,1
16,6,15,20,2,4,3,1
10,12,19,21,4,3,2,1
8,21,10,21,4,1,3,1
