Player 1,Player 2,Player 3,Player 4,,,,
19,18,25,13,2,3,1,4
24,27,30,27,4,2,1,2
13,14,12,15,3,2,4,1
16,19,15,16,2,1,4,2
8,9,12,9,4,2,1,2
21,17,16,16,1,2,3,3
11,12,12,12,4,1,1,1
17,21,19,31,4,2,3,1
26,20,12,32,2,3,4,1
22,25,21,21,2,1,3,3
21,17,19,17,1,3,2,3
25,4,7,29,2,4,3,1
15,20,17,17,4,1,2,2
21,18,26,27,3,4,2,1
11,11,12,32,3,3,2,1
16,20,12,21,3,2,4,1
16,22,14,23,3,2,4,1
24,22,18,24,1,3,4,1
11,10,11,11,1,4,1,1
30,21,30,32,2,4,2,1
18,15,20,19,3,4,1,2
20,17,15,22,2,3,4,1
18,22,17,19,3,1,4,2
30,22,21,32,2,3,4,1
21,20,22,22,3,4,1,1
16,20,18,22,4,2,3,1
28,22,21,30,2,3,4,1
13,11,11,16,2,3,3,1
23,27,21,27,3,1,4,1
24,15,17,24,1,4,3,1
30,25,19,24,1,2,4,3
13,12,12,12,1,2,2,2
11,13,15,12,4,2,1,3
32,20,13,30,1,3,4,2
14,13,12,14,1,3,4,1
25,32,31,32,4,1,3,1
17,23,25,30,4,3,2,1
17,14,18,14,2,3,1,3
12,21,13,32,4,2,3,1
20,22,17,19,2,1,4,3
11,11,13,14,3,3,2,1
30,30,30,30,1,1,1,1
24,19,26,25,3,4,1,2
13,12,13,13,1,4,1,1
17,21,15,19,3,1,4,2
15,17,16,18,4,2,3,1
18,19,21,26,4,3,2,1
21,14,16,15,1,4,2,3
14,18,15,20,4,2,3,1
22,21,22,17,1,3,1,4
8,20,28,21,4,3,1,2
20,22,20,26,3,2,3,1
15,14,21,18,3,4,1,2
26,21,27,32,3,4,2,1
15,14,18,16,3,4,1,2
17,22,32,26,4,3,1,2
11,14,12,12,4,1,2,2
21,32,15,31,3,1,4,2
20,19,23,21,3,4,1,2
15,16,21,21,4,3,1,1
13,21,18,16,4,1,2,3
16,12,11,19,2,3,4,1
14,11,13,14,1,4,3,1
11,13,13,14,4,2,2,1
8,9,18,18,4,3,1,1
21,18,20,22,2,4,3,1
17,13,15,15,1,4,2,2
27,11,10,28,2,3,4,1
14,23,18,32,4,2,3,1
22,23,19,32,3,2,4,1
11,11,14,14,3,3,1,1
30,21,18,30,1,3,4,1
17,18,25,25,4,3,1,1
28,21,14,27,1,3,4,2
16,18,14,19,3,2,4,1
22,15,19,19,1,4,2,2
18,14,16,31,2,4,3,1
22,27,26,24,4,1,2,3
30,14,21,30,1,4,3,1
23,26,25,30,4,2,3,1
22,21,17,23,2,3,4,1
18,16,15,18,1,3,4,1
11,10,12,12,3,4,1,1
9,13,8,13,3,1,4,1
25,20,18,21,1,3,4,2
17,15,17,17,1,4,1,1
22,18,14,32,2,3,4,1
18,16,18,17,1,4,1,3
21,17,20,22,2,4,3,1
14,10,15,14,2,4,1,2
25,23,16,23,1,2,4,2
20,10,14,31,2,4,3,1
21,28,22,27,4,1,3,2
8,10,8,11,3,2,3,1
20,30,28,24,4,1,2,3
25,18,21,28,2,4,3,1
16,13,16,20,2,4,2,1
27,21,17,22,1,3,4,2
19,23,19,27,3,2,3,1
15,13,17,16,3,4,1,2
18.75,17.93,17.81,21.75,2.53,2.72,2.57,1.56
